Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
443.9299927,978.9841309,877.4968872,838.5336914,824.9241943,806.0631714,800.3295288,776.0050659,705.8267822,689.1548462,679.7020874,658.6816406
445,976.0787964,873.2612915,840.5177612,827.1573486,802.9156494,802.0128174,782.600708,704.1481934,690.7762451,684.9717407,662.5466919
446.0599976,974.4706421,871.2064819,843.0946655,824.77948,801.7614746,804.5094604,780.0690308,706.90979,693.4173584,682.7832031,659.4719849
446.9599915,975.7054443,873.7752686,840.0314331,824.4614868,803.4505005,797.6513672,778.5155029,704.9241333,690.7171021,680.5604858,658.6498413
448.0299988,969.5098267,869.050354,835.0721436,819.8133545,800.6273193,801.7487793,774.2645264,701.1574707,689.3004761,680.4780884,655.4855957
448.9299927,965.6427612,865.4051514,831.984375,823.7654419,800.255249,794.7197266,770.5734253,703.6073608,687.7811279,678.1437988,653.8528442
450,960.5736084,864.9867554,825.3932495,814.3173218,796.6696777,791.5475464,767.5131226,698.6491089,683.1890869,676.6107178,653.213562
451.0599976,956.7007446,855.4890137,826.5335083,809.1790161,790.8535156,787.0884399,764.815918,694.0560913,683.7796021,674.170105,651.861084
451.9599915,949.7677612,848.6781616,821.7293091,803.9483032,788.4260254,783.9740601,763.4034424,691.0869751,676.0581055,669.9038696,646.102478
453.0299988,941.9504395,844.1469116,810.6231079,797.6067505,784.0835571,776.8605957,757.2064819,687.4002686,675.220459,662.7659302,639.8162231
