Loading Index,Batch B,Batch C,Batch D,Batch E
186,0.03179281735362457,0.06066831264264685,0.04664625105053206,0.041219137623083296
187,0.03065476348621838,0.06067888985522177,0.045294747063698834,0.038662255366748416
188,0.028616460737492546,0.06068841527744942,0.04226388073539911,0.0372416360169165
189,0.026067307580958782,0.06070201918057648,0.0432285899027985,0.034970096936198146
190,0.024535871751877894,0.06069521535957583,0.03851823600114435,0.03408499558309802
191,0.02212058689605026,0.060696713502186576,0.03728832851880598,0.03142631969844389
192,0.02050628745284776,0.060616823876922216,0.034242565985991597,0.029151228392425423
193,0.01768054965948372,0.06060340254099912,0.03468844573894758,0.02780245790924795
194,0.01571170529669209,0.060709577697111515,0.031604161426421154,0.024506459437604593
195,0.014558601192737256,0.0606438723050078,0.0293613087745027,0.021041575504227226
196,0.013237161357204513,0.06060554887133928,0.02586675865474747,0.020851181861851687
197,0.008001489486843798,0.0606704803534659,0.02330268466207691,0.018061166147167358
